id,member_number,account_type,balance,opened_date,status
697,MBR00095,savings,3084.34,2012-05-09,active
668,MBR00037,cd,33957.71,2014-05-03,active
64,MBR00330,checking,16791.34,2010-05-25,active
534,MBR00463,money_market,99980.01,2020-08-29,active
67,MBR00465,checking,16199.37,2021-06-20,active
622,MBR00412,savings,60958.32,2006-11-19,frozen
347,MBR00278,savings,58305.88,2011-12-24,closed
491,MBR00034,savings,2822.4,2004-06-06,active
761,MBR00064,checking,4077.37,2020-09-05,active
457,MBR00092,money_market,64388.3,2026-03-24,active
66,MBR00234,checking,13490.08,2019-11-11,frozen
287,MBR00492,checking,15818.71,2023-09-03,closed
636,MBR00099,cd,97702.36,2021-10-28,closed
68,MBR00136,checking,17182.48,2022-12-29,active
328,MBR00499,savings,73135.43,2025-01-05,active
396,MBR00179,savings,44743.85,2006-12-20,active
245,MBR00370,checking,15384.29,2019-10-04,closed
378,MBR00120,money_market,16056.01,2022-04-01,active
611,MBR00304,savings,5192.95,2014-03-22,closed
527,MBR00303,money_market,66714.67,2025-09-21,active
659,MBR00023,cd,73614.15,2009-11-18,closed
530,MBR00238,savings,61740.72,2013-03-27,active
623,MBR00348,savings,73201.07,2019-12-07,closed
722,MBR00379,savings,59445.86,2015-11-24,active
361,MBR00428,checking,6477.0,2017-11-06,closed
31,MBR00268,checking,18902.18,2015-12-28,closed
261,MBR00352,checking,5342.26,2022-04-02,frozen
638,MBR00338,savings,14932.06,2021-12-31,active
747,MBR00218,checking,23240.77,2003-07-21,active
571,MBR00429,money_market,63409.81,2018-01-28,active
216,MBR00233,checking,22987.52,2003-11-01,closed
79,MBR00161,checking,19693.61,2012-02-03,active
579,MBR00050,money_market,143537.09,2024-01-28,active
384,MBR00383,cd,63754.82,2025-01-31,frozen
40,MBR00477,checking,19364.16,2023-04-05,frozen
24,MBR00255,checking,19629.25,2025-02-21,frozen
693,MBR00146,cd,62244.39,2023-11-01,active
399,MBR00103,savings,56951.17,2020-06-15,active
797,MBR00236,cd,57236.89,2025-04-30,active
742,MBR00060,cd,48472.3,2025-06-28,active
140,MBR00134,checking,14733.2,2011-10-01,active
251,MBR00163,checking,23497.4,2018-10-05,active
175,MBR00252,checking,10844.27,2024-07-01,active
324,MBR00160,cd,46904.76,2020-03-12,active
596,MBR00056,savings,32628.39,2025-03-13,closed
526,MBR00499,savings,25883.2,2025-09-01,frozen
424,MBR00461,cd,43576.37,2024-04-24,active
597,MBR00330,cd,71824.63,2005-09-15,active
605,MBR00324,savings,64073.98,2014-04-01,active
535,MBR00273,savings,43555.89,2024-08-01,active
266,MBR00433,checking,20121.78,2007-02-20,closed
110,MBR00333,checking,11624.92,2026-01-28,active
667,MBR00321,money_market,2701.14,2021-07-14,frozen
295,MBR00064,checking,4678.77,2007-04-15,active
337,MBR00306,savings,7166.25,2024-07-13,active
369,MBR00212,money_market,124357.86,2025-05-21,active
447,MBR00354,cd,46894.32,2023-10-18,frozen
334,MBR00112,savings,32845.04,2016-01-26,active
199,MBR00053,checking,4102.38,2005-05-05,frozen
169,MBR00081,checking,20680.2,2017-03-28,closed
482,MBR00006,money_market,40026.58,2007-07-24,active
724,MBR00064,savings,37145.54,2012-09-07,frozen
656,MBR00008,savings,65508.59,2023-07-11,active
307,MBR00384,savings,48144.85,2025-08-11,active
232,MBR00328,checking,20024.02,2008-12-29,active
423,MBR00410,cd,31590.84,2008-03-31,frozen
50,MBR00057,checking,11923.94,2020-10-08,closed
788,MBR00338,money_market,86901.01,2023-12-09,active
358,MBR00240,money_market,55736.59,2023-12-13,frozen
87,MBR00490,checking,21881.7,2016-10-21,active
546,MBR00065,checking,19451.68,2006-06-20,active
193,MBR00256,checking,14483.51,2025-04-08,frozen
796,MBR00059,savings,40612.05,2015-06-10,active
34,MBR00361,checking,4755.72,2004-06-18,active
32,MBR00104,checking,15124.34,2025-10-31,frozen
200,MBR00316,checking,20128.8,2018-07-31,active
366,MBR00086,savings,38099.61,2022-08-01,frozen
487,MBR00070,savings,34816.04,2024-09-27,closed
595,MBR00252,money_market,28820.22,2014-06-09,active
569,MBR00121,savings,39790.47,2024-04-20,active
429,MBR00478,savings,14501.05,2023-11-08,active
138,MBR00416,checking,14507.92,2026-04-07,closed
73,MBR00090,checking,11333.03,2020-04-03,active
78,MBR00347,checking,23208.39,2016-04-10,active
513,MBR00092,savings,44660.34,2026-03-16,frozen
784,MBR00197,savings,28537.07,2023-07-11,active
787,MBR00200,money_market,86406.15,2023-01-27,active
276,MBR00309,checking,18640.37,2015-05-29,active
362,MBR00050,money_market,80920.01,2014-06-06,active
97,MBR00048,checking,16824.96,2012-02-20,active
642,MBR00054,cd,18412.87,2015-10-01,active
716,MBR00428,savings,11201.13,2024-03-15,active
282,MBR00362,checking,8194.75,2021-08-10,closed
394,MBR00127,checking,23303.16,2020-05-03,active
629,MBR00399,checking,14609.02,2004-12-09,active
609,MBR00353,savings,66448.45,2020-07-01,active
706,MBR00431,savings,7389.84,2022-12-07,active
755,MBR00420,money_market,80503.71,2024-04-18,frozen
55,MBR00077,checking,22906.72,2014-06-11,active
751,MBR00472,savings,15401.82,2019-08-13,frozen
156,MBR00498,checking,12964.35,2015-11-13,active
433,MBR00069,money_market,71642.62,2024-04-19,frozen
98,MBR00191,checking,5015.7,2005-03-09,closed
121,MBR00248,checking,9873.21,2015-01-25,closed
77,MBR00411,checking,1233.37,2025-01-28,active
205,MBR00001,checking,16438.76,2021-02-08,active
353,MBR00023,savings,2829.89,2011-11-23,active
765,MBR00209,cd,43368.2,2012-04-22,active
209,MBR00288,checking,4949.19,2015-11-25,closed
368,MBR00463,savings,74765.35,2024-03-11,active
426,MBR00273,checking,9527.93,2025-10-13,active
516,MBR00291,checking,24070.51,2011-05-04,frozen
85,MBR00024,checking,7521.61,2004-05-02,frozen
11,MBR00071,checking,23572.57,2024-01-09,frozen
721,MBR00022,money_market,47327.37,2023-01-17,closed
111,MBR00086,checking,12225.59,2023-12-27,active
522,MBR00237,savings,26471.85,2022-07-03,closed
778,MBR00348,cd,38880.67,2015-09-22,frozen
210,MBR00106,checking,12943.76,2020-11-27,active
236,MBR00271,checking,1993.12,2018-03-12,active
317,MBR00392,savings,55848.05,2024-09-19,active
389,MBR00149,savings,10348.08,2025-12-27,active
119,MBR00214,checking,13834.69,1998-08-10,closed
720,MBR00103,money_market,45195.82,2009-04-03,active
211,MBR00397,checking,16883.21,2009-12-13,active
255,MBR00032,checking,394.32,2012-09-12,active
592,MBR00395,savings,12566.47,2022-12-22,active
30,MBR00488,checking,22796.01,2015-06-06,frozen
267,MBR00189,checking,21422.09,2025-09-21,active
657,MBR00168,savings,66940.79,2014-05-22,closed
663,MBR00068,savings,48749.19,2022-10-08,active
297,MBR00476,checking,23516.89,2019-08-27,frozen
82,MBR00060,checking,11902.29,2025-05-07,closed
689,MBR00336,savings,50106.22,2019-05-12,closed
303,MBR00227,checking,25155.53,2003-12-29,active
507,MBR00077,savings,1636.63,2004-05-26,closed
759,MBR00491,savings,26934.26,2005-08-14,active
315,MBR00128,money_market,97783.64,2014-09-28,active
645,MBR00118,savings,7805.78,2012-09-18,frozen
410,MBR00198,cd,51345.49,2010-09-05,frozen
212,MBR00175,checking,16409.98,2019-12-07,active
533,MBR00032,savings,10849.3,2014-07-17,closed
484,MBR00059,savings,30005.67,2023-04-02,closed
219,MBR00420,checking,15198.45,2008-07-06,active
8,MBR00319,checking,12646.95,2018-05-06,frozen
465,MBR00029,checking,25614.88,2019-03-10,frozen
102,MBR00206,checking,8012.87,2023-05-25,active
327,MBR00099,money_market,124667.18,2023-04-24,active
653,MBR00405,money_market,92700.39,2025-06-26,active
538,MBR00299,money_market,77787.52,2013-06-29,active
641,MBR00172,money_market,114365.18,2024-09-14,active
3,MBR00339,checking,21092.55,2010-08-31,closed
739,MBR00426,money_market,84901.64,2018-08-18,frozen
777,MBR00016,money_market,124971.09,2025-08-25,active
520,MBR00359,money_market,132654.57,2018-02-24,active
590,MBR00151,money_market,13667.84,2024-05-08,active
799,MBR00194,savings,7780.56,2021-02-12,active
745,MBR00418,savings,64332.73,2021-04-07,active
514,MBR00359,money_market,48585.0,2023-05-01,active
671,MBR00318,money_market,10584.72,2025-04-06,frozen
265,MBR00277,checking,20373.35,2011-10-28,frozen
616,MBR00077,savings,5866.49,2023-04-29,frozen
330,MBR00267,cd,47809.73,2025-01-20,frozen
343,MBR00461,savings,33093.75,2018-11-18,active
395,MBR00351,checking,12407.46,2021-02-11,active
80,MBR00219,checking,2253.98,2023-04-24,active
149,MBR00448,checking,18034.37,2017-04-04,active
351,MBR00255,savings,21593.12,2026-01-19,active
383,MBR00179,savings,65153.42,2017-11-27,active
441,MBR00293,savings,48283.84,2025-11-29,frozen
310,MBR00006,savings,56992.86,1998-07-16,active
708,MBR00101,checking,25483.54,2025-12-08,frozen
134,MBR00250,checking,11794.89,2025-02-17,active
382,MBR00414,savings,58619.08,2025-09-26,active
