id,member_number,loan_type,original_balance,current_balance,interest_rate,origination_date,maturity_date,status
1,MBR00194,mortgage,157610.62,155385.96,0.0367,2008-11-15,2034-11-15,current
2,MBR00293,personal,32561.69,26357.25,0.0829,2023-09-21,2027-09-21,current
3,MBR00200,personal,10790.71,1550.22,0.1119,2020-07-21,2024-07-21,charged_off
4,MBR00166,mortgage,597507.87,347551.81,0.059,2004-10-16,2028-10-16,current
5,MBR00294,auto,20960.61,1942.46,0.0517,2024-03-03,2029-03-03,current
6,MBR00051,personal,16577.58,11218.94,0.1215,2024-07-17,2025-07-17,charged_off
7,MBR00414,personal,24352.98,22573.86,0.1478,2011-05-20,2015-05-20,charged_off
8,MBR00251,mortgage,107098.56,349.2,0.0487,2019-05-07,2041-05-07,delinquent
9,MBR00052,heloc,153575.7,58411.31,0.0551,2022-01-25,2032-01-25,current
10,MBR00354,mortgage,272868.63,226517.39,0.0531,2022-05-11,2038-05-11,current
11,MBR00346,mortgage,323404.13,183392.89,0.0426,2021-09-19,2038-09-19,current
12,MBR00106,mortgage,588828.63,148488.82,0.0648,2015-10-04,2045-10-04,delinquent
13,MBR00173,auto,53231.5,25712.27,0.0814,2012-05-17,2019-05-17,charged_off
14,MBR00255,mortgage,165791.59,73665.4,0.0604,2017-01-28,2047-01-28,delinquent
15,MBR00258,mortgage,308794.59,252241.54,0.0358,2021-12-20,2042-12-20,current
16,MBR00416,auto,30692.31,29440.32,0.0897,2026-04-05,2029-04-05,current
17,MBR00392,personal,17496.78,15333.23,0.0823,2024-01-10,2028-01-10,current
18,MBR00342,personal,7142.27,3119.41,0.1524,2023-05-08,2025-05-08,charged_off
19,MBR00174,personal,8221.47,6736.93,0.1278,2025-04-15,2026-04-15,delinquent
20,MBR00086,auto,32396.09,23186.49,0.0843,2020-11-07,2023-11-07,charged_off
21,MBR00315,heloc,39277.83,6403.18,0.0815,2009-09-13,2024-09-13,charged_off
22,MBR00154,auto,9458.48,6911.14,0.0626,2025-10-26,2031-10-26,current
